=> creating model 'resnet18'
learning_rate: 0.01
Epoch: [0][0/5005]	Time 3.999 (3.999)	Data 2.537 (2.537)	Loss 7.0440 (7.0440)	Acc@1 0.000 (0.000)	Acc@5 0.000 (0.000)
Epoch: [0][50/5005]	Time 0.372 (0.529)	Data 0.271 (0.327)	Loss 6.9071 (7.1786)	Acc@1 0.391 (0.100)	Acc@5 1.562 (0.506)
Epoch: [0][100/5005]	Time 0.842 (0.508)	Data 0.741 (0.327)	Loss 6.8998 (7.0499)	Acc@1 0.391 (0.120)	Acc@5 1.172 (0.642)
Epoch: [0][150/5005]	Time 0.697 (0.499)	Data 0.594 (0.325)	Loss 6.8398 (6.9932)	Acc@1 0.000 (0.155)	Acc@5 0.781 (0.735)
Epoch: [0][200/5005]	Time 0.221 (0.495)	Data 0.097 (0.324)	Loss 6.7909 (6.9497)	Acc@1 0.391 (0.190)	Acc@5 2.734 (0.836)
Epoch: [0][250/5005]	Time 1.177 (0.497)	Data 1.073 (0.322)	Loss 6.7197 (6.9141)	Acc@1 0.781 (0.235)	Acc@5 1.953 (1.027)
Epoch: [0][300/5005]	Time 0.221 (0.492)	Data 0.000 (0.315)	Loss 6.6716 (6.8807)	Acc@1 0.391 (0.279)	Acc@5 1.953 (1.220)
Epoch: [0][350/5005]	Time 1.317 (0.494)	Data 1.214 (0.314)	Loss 6.6286 (6.8501)	Acc@1 0.781 (0.314)	Acc@5 3.125 (1.387)
Epoch: [0][400/5005]	Time 0.228 (0.490)	Data 0.000 (0.313)	Loss 6.6738 (6.8222)	Acc@1 1.562 (0.342)	Acc@5 1.953 (1.511)
Epoch: [0][450/5005]	Time 1.247 (0.492)	Data 1.143 (0.314)	Loss 6.4601 (6.7933)	Acc@1 1.953 (0.391)	Acc@5 4.688 (1.677)
Epoch: [0][500/5005]	Time 0.222 (0.489)	Data 0.000 (0.310)	Loss 6.4720 (6.7646)	Acc@1 0.781 (0.430)	Acc@5 3.906 (1.847)
Epoch: [0][550/5005]	Time 0.223 (0.490)	Data 0.000 (0.312)	Loss 6.3210 (6.7360)	Acc@1 0.781 (0.487)	Acc@5 5.078 (2.033)
Epoch: [0][600/5005]	Time 0.222 (0.488)	Data 0.000 (0.309)	Loss 6.3898 (6.7046)	Acc@1 1.562 (0.552)	Acc@5 5.078 (2.271)
Epoch: [0][650/5005]	Time 0.222 (0.489)	Data 0.000 (0.309)	Loss 6.3425 (6.6726)	Acc@1 0.781 (0.624)	Acc@5 3.906 (2.542)
Epoch: [0][700/5005]	Time 0.224 (0.487)	Data 0.000 (0.307)	Loss 6.0976 (6.6410)	Acc@1 3.125 (0.697)	Acc@5 8.203 (2.793)
Epoch: [0][750/5005]	Time 0.221 (0.489)	Data 0.000 (0.307)	Loss 6.3873 (6.6099)	Acc@1 2.734 (0.765)	Acc@5 7.422 (3.044)
Epoch: [0][800/5005]	Time 0.222 (0.488)	Data 0.000 (0.307)	Loss 6.2755 (6.5785)	Acc@1 2.734 (0.854)	Acc@5 7.812 (3.312)
Epoch: [0][850/5005]	Time 0.223 (0.488)	Data 0.000 (0.306)	Loss 5.9298 (6.5461)	Acc@1 3.906 (0.944)	Acc@5 10.156 (3.606)
Epoch: [0][900/5005]	Time 0.220 (0.488)	Data 0.000 (0.307)	Loss 5.8983 (6.5137)	Acc@1 3.906 (1.047)	Acc@5 13.281 (3.917)
Epoch: [0][950/5005]	Time 0.223 (0.487)	Data 0.000 (0.309)	Loss 5.7828 (6.4820)	Acc@1 3.516 (1.153)	Acc@5 10.938 (4.232)
Epoch: [0][1000/5005]	Time 0.222 (0.487)	Data 0.032 (0.311)	Loss 5.9322 (6.4509)	Acc@1 2.734 (1.264)	Acc@5 10.547 (4.569)
Epoch: [0][1050/5005]	Time 0.222 (0.487)	Data 0.000 (0.312)	Loss 5.7432 (6.4202)	Acc@1 3.125 (1.365)	Acc@5 12.109 (4.876)
Epoch: [0][1100/5005]	Time 0.251 (0.488)	Data 0.000 (0.312)	Loss 5.7396 (6.3904)	Acc@1 3.516 (1.473)	Acc@5 9.375 (5.193)
Epoch: [0][1150/5005]	Time 0.223 (0.487)	Data 0.000 (0.312)	Loss 5.7270 (6.3620)	Acc@1 5.078 (1.586)	Acc@5 12.891 (5.526)
Epoch: [0][1200/5005]	Time 0.224 (0.487)	Data 0.000 (0.312)	Loss 5.6723 (6.3331)	Acc@1 3.516 (1.692)	Acc@5 14.062 (5.850)
Epoch: [0][1250/5005]	Time 0.223 (0.487)	Data 0.000 (0.311)	Loss 5.6030 (6.3051)	Acc@1 3.516 (1.810)	Acc@5 15.234 (6.173)
Epoch: [0][1300/5005]	Time 0.221 (0.487)	Data 0.000 (0.311)	Loss 5.6978 (6.2768)	Acc@1 4.297 (1.935)	Acc@5 8.984 (6.498)
Epoch: [0][1350/5005]	Time 0.240 (0.486)	Data 0.139 (0.311)	Loss 5.6675 (6.2491)	Acc@1 5.078 (2.053)	Acc@5 13.672 (6.831)
Epoch: [0][1400/5005]	Time 0.222 (0.487)	Data 0.000 (0.312)	Loss 5.5042 (6.2231)	Acc@1 7.812 (2.181)	Acc@5 16.797 (7.163)
Epoch: [0][1450/5005]	Time 0.223 (0.486)	Data 0.008 (0.312)	Loss 5.5966 (6.1967)	Acc@1 3.125 (2.318)	Acc@5 16.016 (7.502)
Epoch: [0][1500/5005]	Time 0.221 (0.487)	Data 0.000 (0.313)	Loss 5.3420 (6.1712)	Acc@1 8.594 (2.447)	Acc@5 20.312 (7.839)
Epoch: [0][1550/5005]	Time 0.602 (0.487)	Data 0.499 (0.315)	Loss 5.2791 (6.1461)	Acc@1 8.203 (2.583)	Acc@5 17.969 (8.167)
Epoch: [0][1600/5005]	Time 0.714 (0.487)	Data 0.615 (0.316)	Loss 5.3094 (6.1206)	Acc@1 6.250 (2.732)	Acc@5 16.797 (8.498)
Epoch: [0][1650/5005]	Time 0.614 (0.487)	Data 0.512 (0.317)	Loss 5.3848 (6.0962)	Acc@1 7.031 (2.864)	Acc@5 19.922 (8.833)
Epoch: [0][1700/5005]	Time 0.545 (0.487)	Data 0.444 (0.318)	Loss 5.2479 (6.0715)	Acc@1 7.422 (3.002)	Acc@5 18.359 (9.174)
