load word frequency mapping - complete
loaded tensor torch.Size([798949912])
loaded tensor torch.Size([30301027, 2])
#sentences 30301027
load train data - complete
#sentences 6073
load test data - complete
Batch Size: 1024 Initial LR: 0.004
Random Initialization - No Saved Model
| epoch   1 |     0/39011 batches | lr 0.004000 | ms/batch  5.10 | loss 13.07 | ppl 473681.63
| epoch   1 |   125/39011 batches | lr 0.003997 | ms/batch 472.85 | loss  6.48 | ppl   653.34
| epoch   1 |   250/39011 batches | lr 0.003995 | ms/batch 466.65 | loss  5.51 | ppl   246.64
| epoch   1 |   375/39011 batches | lr 0.003992 | ms/batch 467.59 | loss  5.13 | ppl   169.47
| epoch   1 |   500/39011 batches | lr 0.003990 | ms/batch 466.43 | loss  5.02 | ppl   151.04
| epoch   1 |   625/39011 batches | lr 0.003987 | ms/batch 466.54 | loss  4.78 | ppl   119.37
| epoch   1 |   750/39011 batches | lr 0.003985 | ms/batch 466.13 | loss  4.63 | ppl   102.24
| epoch   1 |   875/39011 batches | lr 0.003982 | ms/batch 468.77 | loss  4.59 | ppl    98.41
| epoch   1 |  1000/39011 batches | lr 0.003979 | ms/batch 482.94 | loss  4.51 | ppl    91.22
| epoch   1 |  1125/39011 batches | lr 0.003977 | ms/batch 477.00 | loss  4.47 | ppl    87.52
| epoch   1 |  1250/39011 batches | lr 0.003974 | ms/batch 468.62 | loss  4.36 | ppl    78.22
| epoch   1 |  1375/39011 batches | lr 0.003972 | ms/batch 463.65 | loss  4.29 | ppl    72.72
| epoch   1 |  1500/39011 batches | lr 0.003969 | ms/batch 467.98 | loss  4.23 | ppl    69.05
| epoch   1 |  1625/39011 batches | lr 0.003967 | ms/batch 463.70 | loss  4.20 | ppl    66.62
| epoch   1 |  1750/39011 batches | lr 0.003964 | ms/batch 461.18 | loss  4.18 | ppl    65.06
| epoch   1 |  1875/39011 batches | lr 0.003962 | ms/batch 456.72 | loss  4.14 | ppl    63.06
| epoch   1 |  2000/39011 batches | lr 0.003959 | ms/batch 454.58 | loss  4.09 | ppl    59.53
| epoch   1 |  2125/39011 batches | lr 0.003956 | ms/batch 454.73 | loss  4.10 | ppl    60.50
| epoch   1 |  2250/39011 batches | lr 0.003954 | ms/batch 457.64 | loss  4.03 | ppl    56.19
| epoch   1 |  2375/39011 batches | lr 0.003951 | ms/batch 454.54 | loss  3.99 | ppl    54.10
| epoch   1 |  2500/39011 batches | lr 0.003949 | ms/batch 454.27 | loss  4.04 | ppl    56.63
| epoch   1 |  2625/39011 batches | lr 0.003946 | ms/batch 454.56 | loss  3.97 | ppl    52.92
| epoch   1 |  2750/39011 batches | lr 0.003944 | ms/batch 454.16 | loss  3.97 | ppl    53.02
| epoch   1 |  2875/39011 batches | lr 0.003941 | ms/batch 453.94 | loss  3.95 | ppl    51.90
| epoch   1 |  3000/39011 batches | lr 0.003938 | ms/batch 456.45 | loss  3.94 | ppl    51.56
| epoch   1 |  3125/39011 batches | lr 0.003936 | ms/batch 454.74 | loss  3.93 | ppl    50.95
| epoch   1 |  3250/39011 batches | lr 0.003933 | ms/batch 454.16 | loss  3.88 | ppl    48.42
| epoch   1 |  3375/39011 batches | lr 0.003931 | ms/batch 453.22 | loss  3.89 | ppl    48.73
| epoch   1 |  3500/39011 batches | lr 0.003928 | ms/batch 454.51 | loss  3.92 | ppl    50.49
| epoch   1 |  3625/39011 batches | lr 0.003926 | ms/batch 456.80 | loss  3.86 | ppl    47.52
| epoch   1 |  3750/39011 batches | lr 0.003923 | ms/batch 454.31 | loss  3.86 | ppl    47.29
| epoch   1 |  3875/39011 batches | lr 0.003921 | ms/batch 457.23 | loss  3.88 | ppl    48.51
